FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;AT;MEUR_KP_PRE;OBJ01,99.5 ,121.2 ,79.8 ,103.4 ,74.9 ,90.2 ,126.4 ,14.7 ,52.5 ,177.3 ,111 ,111.1 ,122.8 ,84.8 ,74.4 ,32.8 ,23.4 ,25.9 
A;BE;MEUR_KP_PRE;OBJ01,253.8 ,281.9 ,503 ,154.7 ,157.8 ,115.3 ,162.6 ,56.8 ,119.8 ,104.5 ,120.3 ,111.1 ,82.2 ,99.2 ,123.5 ,69.8 ,99.1 ,131.9 
A;BG;MEUR_KP_PRE;OBJ01,0 ,0 ,15.5 ,24.5 ,19 ,15.9 ,22.7 ,16.2 ,5.2 ,16 ,5.7 ,13.8 ,15.9 ,26.2 ,138 ,193.3 ,74.8 ,134.9 
A;CY;MEUR_KP_PRE;OBJ01,8.7 ,9.4 ,24.3 ,1.7 ,6.1 ,4.8 ,6.2 ,3.7 ,0.8 ,0.8 ,8.5 ,6.7 ,5.6 ,4.2 ,2 ,1.2 ,1.6 ,0 
A;CZ;MEUR_KP_PRE;OBJ01,31.4 ,66.9 ,75.6 ,84.5 ,120.5 ,252.7 ,259.1 ,349.1 ,762.5 ,374.2 ,435 ,743.8 ,856.9 ,861.4 ,834.1 ,1093.2 ,211.3 ,280 
A;DE;MEUR_KP_PRE;OBJ01,3019.3 ,3709 ,3406.8 ,3250.1 ,2754.6 ,2682.5 ,3079.9 ,2252.9 ,3239.8 ,5613.1 ,3088.4 ,2840.1 ,2926.6 ,2460.5 ,2414.3 ,247.2 ,488.1 ,1160.3 
A;DK;MEUR_KP_PRE;OBJ01,4.9 ,9.3 ,8.7 ,4.4 ,2.5 ,5.2 ,4.3 ,0.3 ,0.3 ,0.2 ,0 ,0.8 ,0 ,0 ,0.1 ,14.9 ,14.9 ,15 
A;EE;MEUR_KP_PRE;OBJ01,1.8 ,2.5 ,4.6 ,1.2 ,2.6 ,2.5 ,2 ,2.1 ,0.9 ,1.1 ,2.1 ,8 ,17.7 ,17.3 ,36.8 ,31.2 ,3.4 ,8.6 
A;EL;MEUR_KP_PRE;OBJ01,707.6 ,542.5 ,274.2 ,255.3 ,320 ,243 ,290.8 ,475.1 ,1023.4 ,1317 ,1526.1 ,2119.9 ,1543 ,2357.2 ,1370.9 ,1922.1 ,224.2 ,227.1 
A;ES;MEUR_KP_PRE;OBJ01,786.5 ,879.7 ,1040.2 ,1068.1 ,984.2 ,1128.5 ,1250.8 ,1357.7 ,1746.5 ,1166.9 ,1064.9 ,756 ,590.3 ,890.7 ,859.2 ,321.6 ,222.8 ,195.3 
A;EU28;MEUR_KP_PRE;OBJ01,9417 ,8558.4 ,10232.7 ,9123.5 ,8711.8 ,9111.6 ,10412.4 ,9895.6 ,13237.2 ,16065.1 ,14234 ,13162.3 ,12335.7 ,13034.3 ,14782.1 ,11337.6 ,8499.1 ,9888.2 
A;FI;MEUR_KP_PRE;OBJ01,65.9 ,56.7 ,53.7 ,49 ,51.9 ,75.4 ,72.5 ,45.8 ,51.3 ,38 ,42.2 ,51 ,48.1 ,49.5 ,69 ,64.5 ,72.1 ,65.8 
A;FR;MEUR_KP_PRE;OBJ01,1022.9 ,621.6 ,978.1 ,834.9 ,885.6 ,1498.5 ,1873.1 ,2593.6 ,3156.2 ,4242.1 ,4228.1 ,3453.9 ,3018.6 ,2875.5 ,2978.2 ,2967.3 ,3020.9 ,2844.1 
A;HR;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31 ,101.5 ,18 ,99.3 ,198.8 
A;HU;MEUR_KP_PRE;OBJ01,105 ,144.4 ,187 ,210.9 ,188.9 ,269.3 ,257.2 ,205.7 ,320.9 ,342 ,284.7 ,241.6 ,273.1 ,319.7 ,839.5 ,426.6 ,761.5 ,879.6 
